"employees","salary_2017","salary_adjustments","salary_2018","got_raise"
"Employee 55",49638.8822374865,8176.15780048072,57815.0400379673,TRUE
"Employee 56",44420.5665634945,8273.22078752331,52693.7873510178,TRUE
"Employee 57",47278.4047713503,-4677.48716124333,42600.917610107,FALSE
"Employee 58",43782.0269586518,1527.78079151176,45309.8077501636,TRUE
"Employee 59",49823.6146662384,-2959.26713268273,46864.3475335557,FALSE
"Employee 60",46650.2563655376,9251.54397729784,55901.8003428355,TRUE
"Employee 61",49072.9834232479,4376.85036449693,53449.8337877449,TRUE
"Employee 62",45667.6574074663,-4096.95338341407,41570.7040240522,FALSE
"Employee 63",44023.3707032166,2488.14508668147,46511.5157898981,TRUE
"Employee 64",49405.9465778992,2953.98049289361,52359.9270707928,TRUE
"Employee 65",45319.3544526584,7519.90064163692,52839.2550942954,TRUE
"Employee 66",43624.4862456806,4195.91387035325,47820.4001160339,TRUE
"Employee 67",45311.7506112903,4759.14584938437,50070.8964606747,TRUE
"Employee 68",48081.9907831028,-792.903482215479,47289.0873008873,FALSE
"Employee 69",40557.5264291838,3206.9313339889,43764.4577631727,TRUE
"Employee 70",40011.8791125715,594.138255110011,40606.0173676815,TRUE
"Employee 71",49562.4453318305,4170.55073427036,53732.9960661009,TRUE
"Employee 72",42242.3576563597,-2860.63427454792,39381.7233818118,FALSE
"Employee 73",44375.2968055196,-986.736624035984,43388.5601814836,FALSE
"Employee 74",44290.9559677355,-1004.88952477463,43286.0664429609,FALSE
"Employee 75",48071.2208361365,7304.58442703821,55375.8052631747,TRUE
"Employee 76",47485.6070079841,-4714.31813435629,42771.2888736278,FALSE
"Employee 77",45231.8703639321,9290.97558953799,54522.8459534701,TRUE
"Employee 78",43243.1798079051,8675.68482528441,51918.8646331895,TRUE
"Employee 79",42632.7300956473,5852.88947680965,48485.6195724569,TRUE
"Employee 80",48000.3000679426,2091.04097564705,50091.3410435896,TRUE
"Employee 81",43057.5685435906,-930.545731680468,42127.0228119101,FALSE
"Employee 82",42946.7138578184,2674.57873327658,45621.292591095,TRUE
"Employee 83",49377.9438966885,1405.84932989441,50783.7932265829,TRUE
"Employee 84",48566.0422756337,728.539509000257,49294.5817846339,TRUE
"Employee 85",42134.1272280551,-1514.36992338859,40619.7573046666,FALSE
"Employee 86",43229.3190481141,8122.21620231867,51351.5352504328,TRUE
"Employee 87",47008.9185750112,2115.94770313241,49124.8662781436,TRUE
"Employee 88",43018.0299468338,-135.582502698526,42882.4474441353,FALSE
"Employee 89",45914.5429986529,1804.57834620029,47719.1213448532,TRUE
"Employee 90",41645.8955639973,-547.015522606671,41098.8800413907,FALSE
"Employee 91",40179.2500796728,8343.98060454987,48523.2306842227,TRUE
"Employee 92",41459.8738192581,3126.20992888696,44586.083748145,TRUE
"Employee 93",48183.5468509234,2342.40173827857,50525.948589202,TRUE
"Employee 94",44885.6632458046,8374.35327935964,53260.0165251642,TRUE
"Employee 95",48481.7581414245,4289.34789495543,52771.1060363799,TRUE
"Employee 96",49588.6101410724,9180.45316939242,58769.0633104648,TRUE
"Employee 97",41489.0955202281,7495.0089736376,48984.1044938657,TRUE
"Employee 98",41708.2452750765,2348.09252317064,44056.3377982471,TRUE
"Employee 99",41222.0044620335,7731.58919648267,48953.5936585162,TRUE
"Employee 100",48465.9893764183,5905.81078780815,54371.8001642264,TRUE
